,Unnamed: 0,property_type,price,location,city,province_name,latitude,longitude,baths,purpose,bedrooms,date_added,agency,agent,Area_in_Marla
33051,34953,House,100000,Canal Road,Faisalabad,Punjab,31.485678000000004,73.213162,0,For Rent,0,2019-05-18,Faisalabad Online Real Estate,Muhammad Awais,12.0
33052,34954,Upper Portion,19000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,2,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33053,34955,Upper Portion,18000,Makkah Garden,Faisalabad,Punjab,31.508298,73.067842,0,For Rent,2,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33054,34956,House,32000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,0,For Rent,0,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33055,34957,House,35000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,0,For Rent,0,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33056,34958,House,34000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,0,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33057,34959,Upper Portion,30000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,0,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",12.0
33058,34960,House,33000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,0,2019-01-17,Moosa Estate,"Ch Sabir Sarwar, Ahmad Raza",5.0
33059,34962,House,23000,Eden Gardens,Faisalabad,Punjab,31.46606,73.07194100000001,0,For Rent,0,2019-01-17,Kakka Estate Linkers,"Abdul Haseeb, Usman Shouqat",5.0
33060,34963,House,45000,Others,Faisalabad,Punjab,31.4187,73.0791,0,For Rent,0,2019-01-17,Kakka Estate Linkers,"Abdul Haseeb, Usman Shouqat",5.5
33124,35029,House,6000000,Mansoorabad,Faisalabad,Punjab,31.435658,73.1186,2,For Sale,3,2019-01-18,Self,Self,5.0
33125,35030,House,2900000,Green Town,Faisalabad,Punjab,31.46328,73.097187,2,For Sale,1,2019-01-18,Self,Self,3.0
33126,35031,House,3500000,Ali Town,Faisalabad,Punjab,31.400535583496,73.139236450195,2,For Sale,2,2019-01-18,Self,Self,2.5
33127,35032,House,7200000,Nemat Colony No 1,Faisalabad,Punjab,31.411524,73.123183,0,For Sale,0,2019-01-18,Self,Self,5.0
33566,35479,House,5200000,204 Chak Road,Faisalabad,Punjab,31.404153000000004,73.13695899999999,2,For Sale,4,2019-01-18,Self,Self,4.5
33567,35480,House,4100000,Allama Iqbal Colony,Faisalabad,Punjab,31.386358,73.083158,2,For Sale,3,2019-01-18,Self,Self,3.2
33568,35481,House,21000000,Gulistan Colony No 2,Faisalabad,Punjab,31.447154,73.09375,5,For Sale,6,2019-01-18,Self,Self,10.0
33569,35482,House,3800000,Raza Abad,Faisalabad,Punjab,31.42599,73.04821700000001,2,For Sale,3,2019-01-18,Self,Self,2.5
33570,35483,House,3900000,Civil Lines,Faisalabad,Punjab,31.442944,73.085382,3,For Sale,3,2019-01-18,Self,Self,2.0
33571,35484,House,32500000,Amin Town,Faisalabad,Punjab,31.442321000000003,73.128126,6,For Sale,6,2019-01-18,Self,Self,20.0
33572,35485,House,7500000,Muslim Town,Faisalabad,Punjab,31.461541,73.086584,3,For Sale,3,2019-01-18,Self,Self,5.0
33573,35486,House,10500000,Hilal Road,Faisalabad,Punjab,31.386351,73.099423,3,For Sale,3,2019-01-18,Self,Self,6.0
33574,35487,House,6000000,Tezab Mill Road,Faisalabad,Punjab,31.412036,73.126159,2,For Sale,3,2019-01-18,Self,Self,5.0
33598,35512,House,80000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,0,For Rent,0,2019-01-17,Al-Qasim Estate & Developers,"Ch. Haq Nawaz, Ramzan Baloch",10.0
33599,35513,House,25000,Valencia Gardens,Faisalabad,Punjab,31.350448,73.059597,0,For Rent,0,2019-01-17,Al-Qasim Estate & Developers,"Ch. Haq Nawaz, Ramzan Baloch",5.0
33600,35514,House,50000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33601,35515,Lower Portion,35000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,3,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33602,35516,Lower Portion,25000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33603,35517,House,82000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33604,35518,Upper Portion,24000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33605,35519,Upper Portion,22000,Saeed Colony,Faisalabad,Punjab,31.434925,73.129199,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,5.0
33606,35520,House,125000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,0,For Rent,0,2019-01-18,Meezan Property Dealer,Tanveer Husain,7.0
33678,35594,House,12500000,Peoples Colony No 2,Faisalabad,Punjab,31.395993,73.106961,4,For Sale,5,2019-01-18,Self,Self,8.0
33839,35759,House,200000,Peoples Colony No 1,Faisalabad,Punjab,31.406289,73.104293,2,For Rent,5,2019-01-18,Self,Self,5.0
33840,35760,House,35000,Eden Gardens,Faisalabad,Punjab,31.424316,73.149465,0,For Rent,0,2019-02-17,Al Nazeer Estate Agency,Ch. Ali Nisar Waraich,5.0
34049,35981,House,21000000,Samanabad,Faisalabad,Punjab,31.389912,73.068852,3,For Sale,6,2019-02-17,Self,Self,7.0
34050,35982,House,7500000,Punjab Govt. Servants Housing Foundation,Faisalabad,Punjab,31.367585,73.13717700000001,0,For Sale,3,2019-04-17,The Royal Builders,Taimoor Chaudhary,5.0
34051,35983,House,5500000,Punjab Govt. Servants Housing Foundation,Faisalabad,Punjab,31.367585,73.13717700000001,0,For Sale,1,2019-04-17,The Royal Builders,Taimoor Chaudhary,5.0
34052,35984,House,7500000,Satiana Road,Faisalabad,Punjab,31.206833000000003,73.171673,0,For Sale,0,2019-02-17,Royal Estate Linker,Ch. Irshad,5.0
34053,35985,House,10000000,Muslim Town,Faisalabad,Punjab,31.461541,73.086584,0,For Sale,0,2019-02-17,Mian Estate & Developers,"Mian Asad, Sania Raja, Mian Waqas",5.0
34054,35988,House,10000000,Wapda City,Faisalabad,Punjab,31.502824,73.21435,0,For Sale,0,2019-02-17,Mian Estate & Developers,"Mian Asad, Sania Raja, Mian Waqas",5.0
34055,35990,House,14000000,Gulistan Colony No 1,Faisalabad,Punjab,31.441735,73.100789,4,For Sale,4,2019-02-17,Yasir Associates & Developer,Muhammad Yasir,5.0
34056,35991,House,2700000,Gulshan-e-Ali Housing Scheme,Faisalabad,Punjab,31.365319,73.13608,2,For Sale,2,2019-02-17,Self,Self,2.5
34074,36010,House,95000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,9,For Rent,9,2019-02-17,Self,Self,15.0
34075,36011,Upper Portion,28000,Muslim Town,Faisalabad,Punjab,31.461541,73.086584,2,For Rent,2,2019-02-17,Self,Self,13.0
34076,36012,Lower Portion,18000,Madina Town,Faisalabad,Punjab,31.41764,73.120401,0,For Rent,0,2019-02-17,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abubakkar",5.0
34077,36013,Upper Portion,17000,Others,Faisalabad,Punjab,31.4187,73.0791,0,For Rent,0,2019-02-17,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abubakkar",5.0
34078,36014,House,45000,Hassan Villas,Faisalabad,Punjab,31.431487,73.150227,0,For Rent,0,2019-02-17,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abubakkar",7.0
34079,36015,House,45000,Canal Road,Faisalabad,Punjab,31.429527,73.155627,0,For Rent,0,2019-02-17,Makkah Property Deal,"Haji Ghulam Murtaza ,Rana Abu-Bakkar",5.0
34080,36016,House,32000,Khayaban Colony 2,Faisalabad,Punjab,31.427601,73.13118,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza,Rana Abubakkar",7.5
34081,36017,House,20000,Rasool Park,Faisalabad,Punjab,31.418482,73.13314,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abubakkar",3.0
34082,36018,House,40000,Eden Gardens,Faisalabad,Punjab,31.425441,73.145077,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",5.0
34083,36019,House,36000,Makkah Garden,Faisalabad,Punjab,31.508298,73.067842,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",5.0
34084,36020,House,130000,Zia Colony,Faisalabad,Punjab,31.441479,73.142581,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",24.0
34085,36021,Upper Portion,18000,Raza Garden,Faisalabad,Punjab,31.451813,73.161905,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abubakkar",5.0
34086,36022,House,125000,New Garden Town,Faisalabad,Punjab,31.392333,73.108184,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza,Rana Abubakkar",15.0
34087,36023,House,30000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",5.0
34088,36024,House,45000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza,Rana Abubakkar",5.0
34089,36026,Upper Portion,20000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",5.0
34090,36027,House,35000,Khayaban Colony,Faisalabad,Punjab,31.427272,73.135886,0,For Rent,0,2019-02-16,Makkah Property Deal,"Haji Ghulam Murtaza, Rana Abu-Bakkar",5.0
